,Name,EncodeID,OccurTimes
0,0000C1386AE2C2A2,0,4
1,0000EC65FBF94AB8,1,20
2,0002D312B202F55A,2,5
3,00042C476CC26F05,3,22
4,000465C9B91C8DB6,4,10
5,0004B998B1913804,5,3
6,00053B863A1CDF47,6,9
7,0005D6DF4FC7C2F3,7,24
8,000728F8E0D98162,8,4
9,000825B0BCF3887D,9,16
10,000A24F744271835,10,10
11,000C1C301C4F0127,11,23
12,000C6CB8FDC5AAD6,12,2
13,000CEA78F07CF413,13,12
14,000CFB04547ED3D0,14,2
15,000DC7873637E067,15,5
16,000E7FB8693C2EEB,16,8
17,00103F9497BCEC52,17,3
18,0010782ED436F4D4,18,11
19,001139F4BF4BF888,19,17
20,0011875D9D970B47,20,2
21,001246A5E9557C2A,21,18
22,0012B4805980BDFB,22,2
23,0012F5EB57508E39,23,3
24,001381978690AF68,24,12
25,00148C35ECFE546C,25,4
26,0015538F3240038C,26,27
27,001624356866B9A1,27,19
28,0016796BC39B7D4B,28,21
29,00169D9D52822C35,29,8
30,001815B543343C59,30,4
31,001889FAE7EDAC03,31,6
32,00193DA7E72D2267,32,3
33,001A750FB1B70187,33,3
34,001B6E702A305FD3,34,2
35,001C0A41BEC96EA2,35,12
36,001C246BA29B73D1,36,4
37,001C6DDE28CC9517,37,2
38,001EFF1A64306947,38,3
39,001F373A3D2BF7E0,39,10
40,001F7E9C243613A5,40,2
41,001F9ECC2CC9B504,41,15
42,001FE2792A7368F7,42,15
43,001FE906CBC8B50F,43,7
44,00201609690D6BC1,44,4
45,00216C8C626FAC2B,45,3
46,002302AAB49F3E77,46,30
47,00236603FF23859C,47,24
48,0023BBCD3CA500BB,48,5
49,0024426E541B9CDB,49,2
50,00245627970A4EDF,50,12
51,002524BCC0C4098E,51,11
52,0026000400A3DDC8,52,14
53,00265D0E7B3CE85A,53,31
54,00284A72F31BFE23,54,5
55,0028F3A7FD60FFFA,55,4
56,0029517AC5E5ECFB,56,13
57,00297453B3F9098E,57,3
58,0029B0F6340F1E65,58,5
59,0029E8BF826A7803,59,4
60,002B066612ED7101,60,13
61,002B1D2B6B7A1875,61,12
62,002BC1BB7C46175B,62,22
63,002CE1948892B63B,63,2
64,002D02A5283C8F98,64,8
65,002E54DD1B83FB92,65,22
66,002E815B763CB020,66,40
67,002E94AB0FD1F54B,67,7
68,00304B3E9628569F,68,5
69,0030A359028C4D22,69,5
70,00316247F7DEF8E3,70,2
71,0031A48687FBD2DD,71,10
72,0032E490BD1A1862,72,20
73,0032EC2D97709DE6,73,5
74,0033EBCA5221987F,74,10
75,00354C0C167E592D,75,3
76,0035C289DA389BD3,76,10
77,003638352BB41C5E,77,5
78,0036A2FBCDFA7256,78,11
79,0036D3EE91BEEE58,79,4
80,0037DBBFBFC06D2B,80,17
81,0038DB26CADFA066,81,28
82,0038EBA90F0A5D9B,82,3
83,0038F26BA2681C51,83,2
84,00393A5307324C4A,84,2
85,003947071A4C3FE1,85,4
86,003951AA4ADD0867,86,12
87,003992EDF795E301,87,3
88,003C02B69CABCF02,88,3
89,003CE2EB26294C52,89,19
90,003D3FE5EFADEB6D,90,23
91,003DE8FFB8E714CB,91,2
92,003E989741530CE0,92,33
93,003EA91D28A7F1F0,93,15
94,004177F5F6F0F7F8,94,2
95,00441EF06263690B,95,7
96,0044624410CFE9F4,96,12
97,00452DA1F72BC3FC,97,3
98,00456D1FDD74DB28,98,21
99,00473D3D25D24247,99,3
100,0047C519A4F979B5,100,10
101,0047E6332C29C533,101,24
102,0047F06C8A764FB5,102,9
103,004852AF2157DF48,103,6
104,004970EA7EE1B0EE,104,2
105,00498540C283A2B4,105,21
106,0049D3A3442F644D,106,24
107,004AF9AE820E0560,107,16
108,004B8526C7DA0198,108,10
109,004C159A2106F103,109,12
110,004CAF405C9309C2,110,18
111,004CC96D289874FB,111,16
112,004CE3A4433F2A23,112,23
113,004D787FD63D1C61,113,2
114,004DCB6405E9DEDB,114,5
115,004DE1470D190A0C,115,4
116,004E5A105D21310E,116,5
117,004E955B977ECA10,117,5
118,004F250E46373A0D,118,5
119,0050ABFB9C0BF003,119,4
120,00522BD4D5F9FECB,120,7
121,0052AE533720C8BB,121,22
122,00537FF3675D2658,122,12
123,00541826AEB3A7A7,123,28
124,00542332670B0DF0,124,21
125,5.4916E+13,125,3
126,0054DE40F12F9B9A,126,23
127,0054EF68972BDF82,127,2
128,005633223394CCFB,128,10
129,00569F3B5FAEE78C,129,9
130,0056C646C36804E2,130,3
131,0057E13CC96F7E02,131,5
132,00596A7C79BBF0D6,132,3
133,005A0DF09ED32FCB,133,15
134,005A9B77354BE49F,134,40
135,005B1DE28CE82E48,135,7
136,005B5479DF30DA8F,136,13
137,005B9842EC84F257,137,3
138,005BD6869E577790,138,10
139,005BDD312A22A0C2,139,19
140,005BE993C90FA7E4,140,2
141,005CE299FCB6DE0D,141,13
142,005D1662F8AB9EB1,142,2
143,005D46C65C5AE429,143,2
144,005D9FA2E08313C2,144,7
145,005EAEA4475A43AA,145,10
146,005FC3752637BAA9,146,6
147,00606B32A009602F,147,30
148,0061F462935060E1,148,14
149,006220316BE30830,149,11
150,0062ACCECC8E1BC1,150,2
151,00645CAC5AF5FDDB,151,2
152,0064E0264EE61BD0,152,3
153,00669C0C948DC0B7,153,15
154,00681C1E26BAE506,154,7
155,0068B844149E5C7A,155,11
156,00694A9B68074996,156,4
157,006971B5BDAE1490,157,19
158,006B78A20EB4710F,158,12
159,006C01914D3AE659,159,38
160,006D36A3B611CBAC,160,22
161,006D4B1CDD81954C,161,6
162,006E153BAD746DFD,162,9
163,006F8595AAACC5DC,163,14
164,0070458ADA6B90E7,164,8
165,0070B65DA828AF1A,165,5
166,00710A89CA73BAE0,166,19
167,00712D6A9429E108,167,5
168,0071A2E0BEC3F5E7,168,13
169,0072DA8118FAB089,169,4
